123,平常点(In-class Points),50,出席点と、リアクションペーパーによる授業への貢献度(50%)
124,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、出席および授業参加度・貢献度(30%) 、毎回のコメントペーパー(30%)
125,筆記試験(Written Exam),70,""
125,平常点(In-class Points),30,コメントペーパーの内容（３回実施）(30%)
126,筆記試験(Written Exam),80,""
126,平常点(In-class Points),20,授業中の小レポートや提出物(20%)
127,筆記試験(Written Exam),70,""
127,平常点(In-class Points),30,出席兼小テスト(30%)
128,筆記試験(Written Exam),50,""
128,平常点(In-class Points),50,第１回中間レポート(10%) 、第２回中間レポート(20%) 、リアクションペーパー(20%)
129,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、最終レポート(Final Report)(30%) 、Class Participation and Quiz(40%)
130,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、発表(30%) 、討論への参加、小エッセイ、コメントペーパー(40%)
131,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、課題レポート(20%) 、リアクションペーパー(40%)
132,平常点(In-class Points),100,授業に熱心に取り組んだか(50%) 、最終レポート(Final Report)(20%) 、随時行われるレポート(30%)
133,平常点(In-class Points),100,授業への参画度(70%) 、期末レポート(30%)
134,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、レポート(30%) 、出席兼コメントペーパーの内容(30%)
135,筆記試験(Written Exam),70,""
135,平常点(In-class Points),30,リアクションペーパー(20%) 、講義時の課題(10%)
136,筆記試験(Written Exam),65,""
136,平常点(In-class Points),35,コメント・カード＜リアクションペーパー＞(15%) 、提出物・リポート(20%)
137,筆記試験(Written Exam),50,""
137,平常点(In-class Points),50,リアクションペーパー(50%)
138,筆記試験(Written Exam),100,""
139,筆記試験(Written Exam),45,""
139,平常点(In-class Points),55,出席点(15%) 、リアクションペーパー(20%) 、理解度の確認(20%)
140,平常点(In-class Points),100,授業中の発表・討議・質疑応答(30%) 、チームへの貢献度、ワークの成果(40%) 、個人の提出物(30%)
141,平常点(In-class Points),100,出席数と授業内提出物(65%) 、学期末授業内提出のレポート(35%)
142,平常点(In-class Points),100,出席数と授業内提出物(65%) 、学期末授業内提出のレポート(35%)
143,レポート試験(Report Exam),70,""
143,平常点(In-class Points),30,出席兼コメントペーパー(30%)
144,平常点(In-class Points),100,参加態度(60%) 、技術（コミュニケーションを含む）の向上度(30%) 、最終レポート(Final Report)(10%)
145,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、授業への参加態度や出席状況等(70%)
146,平常点(In-class Points),100,出席状況(60%) 、授業に取り組む態度(20%) 、技術の向上度合(20%)
147,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、授業への参加態度や出席状況等(70%)
148,筆記試験(Written Exam),60,""
148,平常点(In-class Points),40,授業内で示した提出物とコメントシートの内容(40%)
149,筆記試験(Written Exam),100,""
150,レポート試験(Report Exam),60,""
150,平常点(In-class Points),40,出席および授業に取り組む姿勢(40%)
151,筆記試験(Written Exam),60,""
151,平常点(In-class Points),40,出席および授業に取り組む姿勢(20%) 、提出物(20%)
152,筆記試験(Written Exam),70,""
152,平常点(In-class Points),30,小エッセイ（合計）(30%)
153,筆記試験(Written Exam),100,""
154,筆記試験(Written Exam),100,""
155,筆記試験(Written Exam),60,""
155,平常点(In-class Points),40,出席状況・リアクションペーパー内容(40%)
156,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、レポート(30%) 、出席兼コメントペーパーの内容(30%)
157,平常点(In-class Points),100,レポート課題(30%) 、最終テスト(Final Test)(30%) 、平常点（コメントカード、演習課題、時間外学習で評価します）(40%)
158,平常点(In-class Points),100,Attendance and classroom activities(40%) 、Paper reports(30%) 、Presentations(30%)
159,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、授業での積極的な発言・出席(30%) 、担当箇所の発表(40%)
160,筆記試験(Written Exam),60,""
160,平常点(In-class Points),40,リアクションペーパーの提出(40%)
161,筆記試験(Written Exam),70,""
161,平常点(In-class Points),30,出席兼コメントペーパーの内容(30%)
162,筆記試験(Written Exam),100,""
163,筆記試験(Written Exam),70,""
163,平常点(In-class Points),30,リアクションペーパー(30%)
164,筆記試験(Written Exam),50,""
164,平常点(In-class Points),50,授業参加態度（リアクションペーパー、質問等）(30%) 、読書レポート(20%)
165,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、毎回の授業終了後のコメントペーパーの内容(60%)
166,筆記試験(Written Exam),100,""
167,筆記試験(Written Exam),100,""
168,レポート試験(Report Exam),70,""
168,平常点(In-class Points),30,コメントペーパー(30%)
169,筆記試験(Written Exam),70,""
169,平常点(In-class Points),30,出席状況兼リアクションペーパーの内容(30%)
170,筆記試験(Written Exam),60,""
170,平常点(In-class Points),40,出席（全体の3分の2以上が単位取得の最低条件）(30%) 、討論への参加度（リアクションペーパーを含む）(10%)
171,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、最終レポート(Final Report)(20%) 、授業への参加態度(50%)
172,平常点(In-class Points),100,出席数と授業内提出物(65%) 、学期末授業内提出のレポート(35%)
173,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、授業態度・参加意欲(60%) 、技術の習得度(20%)
174,平常点(In-class Points),100,出席数と授業内提出物(65%) 、学期末授業内提出のレポート(35%)
175,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、授業態度・参加意欲(60%) 、技術の習得度(20%)
176,平常点(In-class Points),100,出席状況(60%) 、授業に取り組む態度(20%) 、技術の向上度合(20%)
177,平常点(In-class Points),100,参加態度(60%) 、技術（コミュニケーションを含む）の向上度(30%) 、最終レポート(Final Report)(10%)
178,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、授業への参加態度や出席状況等(70%)
179,平常点(In-class Points),100,参加態度(60%) 、技術（コミュニケーションを含む）の向上度(30%) 、最終レポート(Final Report)(10%)
180,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、授業への参加態度や出席状況等(70%)
181,筆記試験(Written Exam),50,""
181,平常点(In-class Points),50,出席及びリアクションペーパー(50%)
182,筆記試験(Written Exam),50,""
182,平常点(In-class Points),50,出席及びリアクションペーパー(50%)
183,筆記試験(Written Exam),60,""
183,平常点(In-class Points),40,毎時間のリアクションペーパーの内容(40%)
184,平常点(In-class Points),100,出席および授業への積極的参加度(30%) 、テスト(40%) 、課題の達成度(30%)
185,筆記試験(Written Exam),70,""
185,平常点(In-class Points),30,出席および授業に取り組む姿勢(30%)
186,レポート試験(Report Exam),50,""
186,平常点(In-class Points),50,出席兼リアクションペーパーの内容(30%) 、中間レポート(20%)
187,筆記試験(Written Exam),60,""
187,平常点(In-class Points),40,出席およびコメントシート(40%)
188,筆記試験(Written Exam),50,""
188,平常点(In-class Points),50,出席およびコメントペーパーの内容(30%) 、授業内に行う小テスト(20%)
189,レポート試験(Report Exam),60,""
189,平常点(In-class Points),40,毎時間のリアクションペーパー(20%) 、中間レポート(20%)
190,平常点(In-class Points),100,最終テスト(Final Test)(40%) 、毎回の授業へのコメント(60%)
191,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、会社についてのプレゼンテーション(20%) 、ディベート(25%) 、その他提出物(25%) 、質問等による授業への貢献(10%)
192,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、平常点(出欠・参加状況)(30%) 、リアクションペーパー(各回議論まとめをBb掲示板へ)(50%)
193,平常点(In-class Points),100,出席、授業への参加度、グループ発表等を総合評価(60%) 、最終レポート(Final Report)(40%)
194,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、Class participation(30%) 、Assignments(30%)
195,平常点(In-class Points),100,"Class attendance, participation, and oral reports(60%) 、Midterm Report(15%) 、最終レポート(Final Report)(25%)"
196,筆記試験(Written Exam),60,""
196,平常点(In-class Points),40,最終レポート(Final Report)(40%)
197,筆記試験(Written Exam),60,""
197,平常点(In-class Points),40,最終レポート(Final Report)(40%)
198,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、Assignments and class participation(40%) 、Midterm paper (30%)
199,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、講義ノートおよび予習課題の精度(30%) 、ディスカッションやそのほかアクティビティーでの積極性と精度(30%) 、小レポート、中間テストの精度(20%)
200,筆記試験(Written Exam),100,""
201,平常点(In-class Points),100,予習課題と講義ノートの精度(40%) 、授業内のアクティビティー、ディスカッションへの積極性と精度(30%) 、最終レポートの精度(30%)
202,筆記試験(Written Exam),80,""
202,平常点(In-class Points),20,課題、リアクション・ペーパー等(20%)
203,筆記試験(Written Exam),70,""
203,平常点(In-class Points),30,課題(20%) 、ミニテスト(10%)
204,筆記試験(Written Exam),60,""
204,平常点(In-class Points),40,中間レポート(40%)
205,平常点(In-class Points),100,授業中の発表・討議・質疑応答(30%) 、グループワークの成果(40%) 、提出物(30%)
206,平常点(In-class Points),100,授業中の発表・討議・質疑応答(30%) 、グループワークの成果(40%) 、提出物(30%)
207,平常点(In-class Points),100,授業中の発表・討議・質疑応答(30%) 、グループワークの成果(40%) 、提出物(30%)
208,平常点(In-class Points),100,授業中の発表・討議・質疑応答(30%) 、グループワークの成果(40%) 、提出物(30%)
209,平常点(In-class Points),100,授業中の発表・討議・質疑応答(30%) 、グループワークの成果(40%) 、提出物(30%)
210,レポート試験(Report Exam),60,""
210,平常点(In-class Points),40,テキストを読んでの中間レポート(40%)
211,レポート試験(Report Exam),60,""
211,平常点(In-class Points),40,出席状況（ハンディターミナルと毎回のリアペ提出）(20%) 、リアクションペーパーへのABCD評価(20%)
212,レポート試験(Report Exam),50,""
212,平常点(In-class Points),50,リアクションペーパーおよび授業内に指示した提出物(50%)
213,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、最終レポート(Final Report)(20%) 、授業への参加態度(50%)
214,平常点(In-class Points),100,最終レポート(Final Report)(25%) 、発表（準備・実施）(25%) 、授業への参加態度(50%)
215,平常点(In-class Points),100,授業への参加状況と態度(50%) 、最終レポート(Final Report)(25%) 、授業内最終回で行う実技テスト(25%)
216,平常点(In-class Points),100,授業への参加状況と態度(50%) 、最終レポート(Final Report)(25%) 、授業内最終回で行う実技テスト(25%)
217,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、授業態度・参加意欲(60%) 、技術の習得度(20%)
218,平常点(In-class Points),100,最終レポート(Final Report)(20%) 、授業態度・参加意欲(60%) 、技術の習得度(20%)
219,平常点(In-class Points),100,授業への参加態度(50%) 、期末レポート(30%) 、技術点（技術修得・向上状況）(10%) 、各時限での授業内容・指示の理解度(10%)
220,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、授業への参加態度や出席状況等(70%)
221,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、授業への参加態度や出席状況等(70%)
222,平常点(In-class Points),100,参加態度(60%) 、技術の向上度(40%)
223,平常点(In-class Points),100,中間課題 1 (30%) 、中間課題２ (30%) 、最終レポート(Final Report)(40%)
224,平常点(In-class Points),100,中間課題 1 (30%) 、中間課題２ (30%) 、最終レポート(Final Report)(40%)
225,平常点(In-class Points),100,コメントペーパー(60%) 、最終レポート(Final Report)(40%)
226,平常点(In-class Points),100,コメントペーパー(60%) 、最終レポート(Final Report)(40%)
227,平常点(In-class Points),100,最終テスト(Final Test)(40%) 、出席兼リアクションペーパーの内容(60%)
228,平常点(In-class Points),100,リアクションペーパーの提出回数と記述内容(50%) 、Blackboardを通じた小テスト・小リポート(50%)
229,平常点(In-class Points),100,出席および授業への積極的参加度(30%) 、テスト(40%) 、課題の達成度(30%)
230,筆記試験(Written Exam),100,""
231,筆記試験(Written Exam),60,""
231,平常点(In-class Points),40,リアクションペーパーとプレゼンテーションの内容(30%) 、授業における発言(10%)
232,平常点(In-class Points),100,Attendance and classroom activities(40%) 、Paper reports(30%) 、Presentations(30%)
233,レポート試験(Report Exam),70,""
233,平常点(In-class Points),30,出席兼コメントペーパーの内容(30%)
234,平常点(In-class Points),100,出席(30%) 、授業・討論への参加度(30%) 、最終レポート(Final Report)(40%)
235,平常点(In-class Points),100,授業内での発言(30%) 、プレゼン内容(30%) 、レポート(20%) 、映画鑑賞の態度(20%)
236,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、mid term essay(20%) 、discussion (2×20%)(40%) 、reaction papers(10%)
237,平常点(In-class Points),100,授業内ミニテスト(100%)
238,筆記試験(Written Exam),70,""
238,平常点(In-class Points),30,毎回のコメントペーパー(30%)
239,筆記試験(Written Exam),70,""
239,平常点(In-class Points),30,コメントカード兼出席票(30%)
240,筆記試験(Written Exam),80,""
240,平常点(In-class Points),20,随時行うコメントペーパーの提出(20%)
241,筆記試験(Written Exam),70,""
241,平常点(In-class Points),30,コメントシート(30%)
242,筆記試験(Written Exam),50,""
242,平常点(In-class Points),50,出席を兼ねたリアクションペーパーの記入(50%)
243,筆記試験(Written Exam),70,""
243,平常点(In-class Points),30,リアクションペーパー(30%)
244,平常点(In-class Points),100,Active Participation in class(40%) 、Personal Contribution to Group Work (30%) 、Personal Asignment(30%)
245,平常点(In-class Points),100,Active Participation in class(40%) 、Personal Contribution to Group Work (30%) 、Personal Asignment(30%)
246,筆記試験(Written Exam),70,""
246,平常点(In-class Points),30,出席兼コメントペーパーの内容(30%)
247,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、授業への参加態度(30%) 、出席兼リアクションペーパーの内容(30%)
248,平常点(In-class Points),100,最終レポート(Final Report)(25%) 、発表（準備・実施）(25%) 、授業への参加態度(50%)
249,平常点(In-class Points),100,授業への参加状況と態度(50%) 、最終レポート(Final Report)(25%) 、授業内最終回で行う実技テスト(25%)
250,平常点(In-class Points),100,授業への参加状況と態度(50%) 、最終レポート(Final Report)(25%) 、授業内最終回で行う実技テスト(25%)
251,平常点(In-class Points),100,参加態度(60%) 、技術の向上度(40%)
252,レポート試験(Report Exam),60,""
252,平常点(In-class Points),40,発表(30%) 、授業への参加度(10%)
253,レポート試験(Report Exam),60,""
253,平常点(In-class Points),40,発表(30%) 、授業への参加度(10%)
254,レポート試験(Report Exam),50,""
254,平常点(In-class Points),50,授業への積極的参加（出席兼コメントペーパーの記述内容）(50%)
255,レポート試験(Report Exam),100,""
256,筆記試験(Written Exam),100,""
257,レポート試験(Report Exam),60,""
257,平常点(In-class Points),40,中間レポート(10%) 、出席兼コメントペーパーの内容(30%)
258,筆記試験(Written Exam),80,""
258,平常点(In-class Points),20,リアクションペーパー(20%)
259,筆記試験(Written Exam),50,""
259,平常点(In-class Points),50,最終レポート(Final Report)(30%) 、出席兼コメントペーパーの内容(20%)
260,レポート試験(Report Exam),60,""
260,平常点(In-class Points),40,中間レポート(10%) 、出席兼コメントペーパーの内容(30%)
261,筆記試験(Written Exam),70,""
261,平常点(In-class Points),30,出席兼リアクションペーパーの内容(30%)
262,筆記試験(Written Exam),70,""
262,平常点(In-class Points),30,授業への参加態度(30%)
263,筆記試験(Written Exam),50,""
263,平常点(In-class Points),50,中間テスト(30%) 、リアクションペーパー(20%)
264,筆記試験(Written Exam),60,""
264,平常点(In-class Points),40,出席兼コメントペーパーの内容(40%)
265,平常点(In-class Points),100,最終テスト(Final Test)(40%) 、授業態度／リアクションペーパー(60%)
266,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、Attendance and classroom activities(60%)
267,筆記試験(Written Exam),100,""
268,筆記試験(Written Exam),60,""
268,平常点(In-class Points),40,課題（10%×2回）(20%) 、出席兼コメントペーパーの内容(20%)
269,筆記試験(Written Exam),60,""
269,平常点(In-class Points),40,出席兼コメントペーパーの内容(25%) 、小レポート（5％×3回）(15%)
270,レポート試験(Report Exam),60,""
270,平常点(In-class Points),40,各回の講義への出席、各回に課されるリアクションペーパーの提出、課題ペーパーの提出(40%)
271,筆記試験(Written Exam),100,""
